age,annual_income,total_debt,monthly_expenses,num_credit_lines,num_late_payments,credit_history_years,num_bankruptcies,loan_amount_requested,employment_years,savings_balance,debt_to_income_ratio,expense_to_income_ratio,creditworthy
47,68253.57,0.0,2949.59,12,0,9,0,4122.56,10,15419.84,0.0,0.5186,1
54,82359.2,28927.92,1276.12,6,1,8,0,34227.68,26,16193.77,0.3512,0.1859,1
58,59945.84,5413.77,2215.89,7,2,9,0,8607.23,25,16218.7,0.0903,0.4436,1
53,91801.47,27685.64,1449.92,1,0,19,0,4523.2,30,4120.07,0.3016,0.1895,1
44,31159.4,26424.36,2892.6,6,2,22,0,20775.62,33,7100.82,0.848,1.114,1
35,62840.61,43189.19,1345.07,3,1,3,0,36104.62,7,4415.58,0.6873,0.2568,0
50,50089.1,22791.31,1426.61,0,0,18,0,26794.62,0,27901.75,0.455,0.3418,1
62,94915.71,10726.96,994.96,10,1,9,0,11531.13,1,24020.17,0.113,0.1258,1
37,97475.86,20443.48,2082.43,14,1,16,1,13923.45,26,13354.27,0.2097,0.2564,1
25,60010.53,5888.97,2472.84,2,2,29,0,1000.0,2,10299.86,0.0981,0.4945,1
49,27712.22,18829.92,2386.5,10,1,11,0,48871.92,33,9928.3,0.6795,1.0334,0
24,70677.43,12589.17,1884.61,11,1,24,0,43275.84,15,7180.31,0.1781,0.32,0
30,18384.76,14155.94,1471.57,0,1,28,0,24325.92,0,0.0,0.7699,0.9605,0
37,100653.57,4219.6,1777.06,4,0,26,0,19818.13,6,10361.74,0.0419,0.2119,1
30,48170.75,18605.35,1807.58,14,0,0,1,3108.08,34,28248.7,0.3862,0.4503,1
37,59235.75,24890.76,2202.09,12,1,10,0,17812.22,21,12640.34,0.4202,0.4461,1
40,42976.22,0.0,2147.08,7,1,12,0,33367.64,31,4436.78,0.0,0.5995,1
44,37455.46,6736.89,3391.78,0,2,0,0,30939.61,25,12331.91,0.1799,1.0866,0
25,78432.28,17016.57,2031.71,13,1,0,0,13241.0,5,8015.19,0.217,0.3108,0
54,56034.58,0.0,2288.64,8,0,29,1,32011.09,10,1038.14,0.0,0.4901,1
26,61062.06,35883.17,2057.16,2,2,20,0,37356.29,30,0.0,0.5876,0.4043,0
22,34902.72,6466.67,1738.61,4,3,15,0,20518.69,20,10324.23,0.1853,0.5977,0
33,81401.48,3742.95,2283.26,8,1,6,0,34728.0,21,0.0,0.046,0.3366,0
63,83944.74,12511.89,1663.47,4,2,22,0,44754.92,0,10151.82,0.149,0.2378,0
63,54776.79,16648.47,1953.43,8,0,9,0,48729.24,20,9232.84,0.3039,0.4279,1
31,91698.05,5922.33,2927.41,9,3,15,0,10993.73,19,16481.5,0.0646,0.3831,1
43,57396.9,26764.96,1611.71,7,0,0,0,26650.66,8,8556.29,0.4663,0.337,0
36,79493.89,19796.48,2309.88,6,0,21,0,30550.74,26,532.24,0.249,0.3487,1
51,19426.81,4953.1,300.0,10,1,8,0,19716.31,28,11386.64,0.2549,0.1853,0
31,68835.77,8731.14,1851.72,0,1,5,0,38654.53,32,19399.61,0.1268,0.3228,1
36,53212.96,0.0,1606.31,3,3,14,0,20837.93,0,5243.51,0.0,0.3622,0
28,63888.06,0.0,2096.21,8,1,3,0,17707.52,2,24458.19,0.0,0.3937,1
24,62767.06,19651.18,1811.01,9,0,14,0,1000.0,31,11035.05,0.3131,0.3462,1
60,63142.5,5077.63,2113.21,7,1,9,0,1000.0,19,6782.46,0.0804,0.4016,1
24,75392.52,36651.41,1697.07,3,0,24,0,14747.6,16,4366.9,0.4861,0.2701,1
45,45870.66,15851.08,2309.07,11,1,15,0,1000.0,9,11761.3,0.3456,0.6041,1
23,74226.98,0.0,628.29,0,1,12,0,38667.5,28,9161.53,0.0,0.1016,1
52,90813.12,1279.83,2089.13,9,1,18,0,33329.94,31,0.0,0.0141,0.2761,1
23,24746.47,27635.64,1250.34,3,3,28,0,30347.48,12,24325.06,1.1167,0.6063,1
47,40486.5,14081.84,2934.29,14,2,25,0,36692.99,30,6971.6,0.3478,0.8697,1
49,41536.61,26903.94,1237.43,2,2,19,0,15867.72,3,24249.44,0.6477,0.3575,1
52,32698.86,10602.14,2796.18,5,1,3,0,23318.93,17,175.77,0.3242,1.0261,0
39,48132.56,8277.21,1990.77,10,0,19,0,14432.21,10,18654.53,0.172,0.4963,1
41,85827.96,28433.37,536.99,4,3,21,0,36636.92,17,22200.99,0.3313,0.0751,1
25,96189.67,4697.07,1298.99,4,3,28,0,1000.0,32,21453.34,0.0488,0.1621,1
38,62654.37,20868.65,2678.24,1,1,15,0,36632.66,2,13601.63,0.3331,0.5129,1
48,51894.1,12458.6,2632.81,11,0,10,0,1000.0,0,18967.83,0.2401,0.6088,1
62,80073.1,25544.68,960.52,2,2,14,0,16908.86,18,14215.96,0.319,0.1439,1
42,12000.0,36821.81,3250.28,10,2,10,0,4256.27,5,725.09,3.0682,3.25,0
41,33620.54,10293.87,1980.35,5,1,22,0,17958.14,9,13717.44,0.3062,0.7068,1
26,12000.0,8434.29,2707.88,1,5,29,0,11708.1,11,182.27,0.7028,2.7077,0
21,33357.51,22989.7,1030.53,14,0,24,0,14228.65,16,0.0,0.6892,0.3707,1
25,40824.56,2015.96,1635.24,3,3,29,0,28209.69,26,12518.59,0.0494,0.4807,1
61,96942.05,34397.59,2332.72,1,3,10,1,23371.49,1,4681.63,0.3548,0.2888,0
32,12000.0,32352.27,1749.47,8,2,2,0,34987.64,24,24306.78,2.6958,1.7493,0
46,49582.43,3010.56,300.0,2,2,23,0,26275.32,27,25160.55,0.0607,0.0726,1
54,75489.16,0.0,1847.37,9,1,23,0,1000.0,16,34644.28,0.0,0.2937,1
34,70268.27,1073.07,428.24,9,0,16,0,55273.16,4,0.0,0.0153,0.0731,0
46,96543.45,1255.56,1143.45,5,1,4,0,1000.0,18,0.0,0.013,0.1421,1
47,64026.29,24621.13,877.71,14,2,12,0,24718.27,3,17818.32,0.3845,0.1645,0
29,69356.95,33590.04,2906.04,0,2,9,0,31038.29,29,7155.53,0.4843,0.5028,0
46,14037.33,24481.51,3157.08,12,1,4,0,24390.37,31,3491.0,1.7439,2.6987,0
42,35293.28,12165.69,2273.25,10,1,11,0,16999.01,26,6551.99,0.3447,0.7729,1
50,15432.38,19109.98,1815.95,13,0,7,0,42298.43,31,9347.96,1.2382,1.412,0
63,74315.2,4562.66,2022.67,14,2,23,0,36848.31,10,15960.5,0.0614,0.3266,1
37,68717.26,28166.5,2905.48,14,3,11,0,19681.21,12,0.0,0.4099,0.5074,0
46,67838.45,20184.35,413.26,9,4,15,0,13264.08,34,13673.03,0.2975,0.0731,1
56,37964.16,24278.37,1139.92,2,0,1,0,7739.32,16,8272.5,0.6395,0.3603,0
21,35676.26,6269.57,2803.23,7,1,2,0,8936.36,29,2866.25,0.1757,0.9429,1
28,65236.17,12976.83,2969.82,4,0,17,0,19101.38,17,22496.57,0.1989,0.5463,1
55,43265.35,23700.88,2471.78,7,2,16,0,1000.0,29,6133.47,0.5478,0.6856,1
35,34489.89,32322.15,1164.02,14,1,1,0,19899.67,25,6910.85,0.9371,0.405,1
42,47290.27,7702.8,2791.64,1,1,25,0,32048.48,15,7485.32,0.1629,0.7084,1
34,43481.45,24365.42,3089.15,6,0,21,0,11554.95,10,24051.38,0.5604,0.8525,1
46,38331.93,6455.14,2574.6,8,3,11,0,19657.8,3,10978.16,0.1684,0.806,0
48,29355.8,40406.33,300.0,6,3,16,0,24611.09,14,9375.2,1.3764,0.1226,0
43,71217.24,10022.1,2099.68,2,4,5,0,27266.57,11,17954.37,0.1407,0.3538,1
34,98901.24,22722.06,2468.19,6,1,16,0,16998.21,26,0.0,0.2297,0.2995,1
44,59024.89,16987.32,1587.51,14,2,1,0,46410.02,3,11826.85,0.2878,0.3227,0
22,65560.85,46263.64,2149.34,7,0,7,0,20051.41,34,11960.69,0.7056,0.3934,1
46,73409.45,17758.82,1589.23,13,2,13,0,1000.0,20,17445.47,0.2419,0.2598,1
34,69164.14,8819.33,1310.73,0,1,5,0,14217.17,1,12642.99,0.1275,0.2274,1
27,38827.19,22674.08,3208.47,12,1,8,0,39472.14,27,0.0,0.584,0.9916,0
23,102996.16,22406.89,2172.05,12,0,0,0,38295.9,33,0.0,0.2175,0.2531,0
43,41067.24,13110.36,1115.22,2,3,4,0,1000.0,32,15740.16,0.3192,0.3259,1
63,76202.21,1862.81,898.72,4,0,6,0,15535.24,7,5577.74,0.0244,0.1415,1
38,73254.78,8664.01,1311.21,11,1,8,0,12086.68,7,7043.19,0.1183,0.2148,1
58,12000.0,25577.99,1315.54,5,0,13,0,31686.5,21,2283.89,2.1313,1.3154,0
55,51028.84,0.0,2117.22,2,2,26,0,2928.91,26,10125.96,0.0,0.4979,1
35,61415.71,12023.45,2388.45,14,1,8,0,43399.79,27,9347.52,0.1958,0.4667,0
45,63328.78,26938.37,2387.59,3,0,3,0,1000.0,10,0.0,0.4254,0.4524,0
57,67535.51,13878.05,1399.91,4,0,28,0,17897.58,26,16936.75,0.2055,0.2487,1
48,78941.57,41084.52,2736.5,14,0,19,0,1928.53,0,3576.3,0.5204,0.416,1
30,59812.12,0.0,2982.28,2,2,14,0,29852.58,27,22836.79,0.0,0.5983,1
59,68865.44,3463.59,1792.03,3,0,3,0,1000.0,26,11903.67,0.0503,0.3123,1
37,58876.14,0.0,1174.34,4,0,2,0,17428.96,7,9214.23,0.0,0.2393,1
59,34566.66,38924.29,2080.23,1,1,23,0,17133.69,23,0.0,1.126,0.7221,1
42,60810.04,3660.15,3728.06,9,1,20,0,6559.96,23,14862.78,0.0602,0.7357,1
46,78727.25,0.0,1153.36,8,0,22,0,38279.29,21,9641.48,0.0,0.1758,1
64,87719.71,7656.97,1579.07,9,0,25,0,45555.51,9,11540.71,0.0873,0.216,1
45,73432.89,0.0,2045.95,7,3,21,0,13956.97,3,21852.21,0.0,0.3343,1
37,93358.76,7742.58,2433.33,11,0,13,0,21940.24,7,17827.02,0.0829,0.3128,1
33,70471.62,15494.75,411.54,5,2,8,0,10740.75,14,20033.13,0.2199,0.0701,1
40,81597.0,24659.05,3044.71,9,1,29,0,1054.4,7,0.0,0.3022,0.4478,1
45,83434.78,12903.97,3033.83,10,0,18,0,3234.82,28,8118.11,0.1547,0.4363,1
24,54416.24,15303.49,1660.17,2,2,5,0,3631.16,34,0.0,0.2812,0.3661,1
30,78150.09,8020.86,4165.29,10,0,2,0,38736.45,13,14248.87,0.1026,0.6396,0
23,36483.88,0.0,2982.16,1,2,17,0,26450.71,31,0.0,0.0,0.9808,1
61,68745.31,0.0,2939.56,6,3,15,1,5703.34,6,19481.16,0.0,0.5131,1
38,74425.65,10626.17,2950.04,7,1,2,0,7043.49,32,24128.8,0.1428,0.4756,1
56,86277.38,16015.68,2926.97,9,2,1,0,5044.21,34,8344.62,0.1856,0.4071,1
42,80518.98,9736.63,1982.47,0,1,1,0,1000.0,26,13080.53,0.1209,0.2955,1
54,86602.85,0.0,1903.23,13,1,25,0,27787.24,0,23968.13,0.0,0.2637,1
28,57515.49,17416.8,1245.14,14,2,26,0,18091.22,5,28796.41,0.3028,0.2598,1
60,51365.17,34551.66,1538.1,5,0,22,0,45646.47,1,25176.79,0.6727,0.3593,1
64,53127.53,13624.24,1751.28,6,2,9,0,1000.0,6,14849.42,0.2564,0.3956,0
39,66657.09,8045.63,2052.37,14,2,14,0,32723.17,7,24525.51,0.1207,0.3695,1
62,14781.32,14274.07,3278.64,12,0,2,1,34054.28,28,1309.8,0.9656,2.6615,0
61,93293.92,1747.44,318.0,8,3,7,0,36025.51,15,3841.63,0.0187,0.0409,0
57,61096.83,973.21,3075.95,11,1,28,0,23684.68,28,18421.41,0.0159,0.6041,1
26,49624.96,20416.97,1190.5,2,1,17,0,33841.09,30,10245.92,0.4114,0.2879,1
46,12000.0,26883.86,1916.38,1,1,26,0,24586.43,21,16073.75,2.2401,1.9162,1
54,59079.66,13234.82,1420.48,4,0,10,0,8771.98,9,18240.51,0.224,0.2885,1
26,55038.09,0.0,3483.42,12,0,6,0,13981.82,3,18378.65,0.0,0.7595,0
57,37573.84,19240.19,1600.03,14,0,18,0,13581.35,24,0.0,0.512,0.511,1
53,43173.83,39808.59,2417.16,9,1,24,0,37457.06,12,16131.77,0.922,0.6718,1
42,59334.08,12073.22,2458.61,0,2,6,0,39191.33,16,4314.64,0.2035,0.4972,0
41,45294.09,12865.85,1071.99,12,1,24,0,32218.19,7,12299.67,0.284,0.284,1
26,74296.95,4528.4,1922.58,5,0,1,0,20919.56,22,5996.23,0.0609,0.3105,0
26,41280.41,20776.25,2963.46,8,2,5,0,1000.0,6,6195.85,0.5033,0.8614,0
24,63865.21,6948.2,1301.41,9,1,4,0,32354.07,31,4418.5,0.1088,0.2445,0
50,89501.13,27258.02,2663.17,14,0,13,0,31724.82,23,16834.29,0.3046,0.3571,1
31,59085.1,7109.03,1735.14,8,1,17,0,24272.89,0,8488.17,0.1203,0.3524,0
50,68899.43,19101.5,2930.92,6,2,3,0,27190.14,26,7758.59,0.2772,0.5105,0
51,67316.28,14443.87,3398.0,13,0,3,0,7824.45,5,7009.88,0.2146,0.6057,0
44,60199.92,33661.34,393.73,10,0,23,1,14849.56,30,15286.23,0.5591,0.0785,1
29,58324.82,19913.75,929.49,6,0,12,0,7690.65,11,2308.68,0.3414,0.1912,0
23,45715.64,31644.09,1649.19,14,0,22,0,17669.84,25,24307.29,0.6922,0.4329,1
51,63775.31,16303.48,3172.34,7,3,28,0,33155.7,24,4104.29,0.2556,0.5969,1
60,52918.31,12951.12,2425.97,9,2,20,0,26580.94,3,6059.93,0.2447,0.5501,0
57,98652.25,14541.71,1004.2,13,1,24,0,4334.53,5,10190.67,0.1474,0.1221,1
56,80278.58,5743.09,2543.14,1,3,0,0,47480.78,12,14263.83,0.0715,0.3801,0
44,23680.1,21380.03,1269.01,13,1,19,0,22595.94,24,8346.9,0.9028,0.6431,1
51,25071.05,6715.7,2696.43,5,2,4,0,9889.21,30,7885.54,0.2679,1.2906,1
26,56738.5,16349.56,2431.17,4,2,23,0,15483.83,21,19741.21,0.2882,0.5142,1
22,50117.36,25262.42,1265.51,4,2,2,1,11677.1,34,0.0,0.5041,0.303,0
40,55420.15,34002.59,1947.24,12,2,29,0,23392.42,20,4813.04,0.6135,0.4216,1
48,76279.04,16954.32,2979.75,2,0,27,0,1000.0,14,2574.36,0.2223,0.4688,1
31,67893.4,25334.48,486.37,2,0,20,0,24415.16,2,6353.81,0.3731,0.086,0
24,67640.73,23902.65,2240.89,5,0,18,0,32601.16,25,22535.94,0.3534,0.3975,1
35,96154.87,10411.47,1114.48,11,0,12,0,29895.12,16,3857.2,0.1083,0.1391,1
26,25277.71,40293.64,1987.05,9,0,6,1,23972.94,34,9152.74,1.594,0.9433,0
50,62598.47,8085.09,2366.21,12,1,9,0,28634.66,7,14929.56,0.1292,0.4536,0
58,45523.69,16091.94,3610.54,9,0,2,0,25885.14,10,2945.7,0.3535,0.9517,0
22,95885.89,32449.44,1978.96,6,0,22,0,35699.83,23,0.0,0.3384,0.2477,0
35,12000.0,32153.5,3172.42,13,0,29,0,16407.26,7,0.0,2.6792,3.1722,0
31,12000.0,15171.84,1327.6,0,1,1,0,6296.92,29,21988.79,1.2642,1.3275,1
28,67615.91,26885.0,1603.98,13,1,6,0,25485.16,0,14081.25,0.3976,0.2847,1
46,88157.41,12312.33,2469.65,2,2,8,1,36256.96,33,7050.96,0.1397,0.3362,1
64,79331.36,9135.85,2161.41,11,0,27,0,14141.43,19,6920.52,0.1152,0.3269,1
25,39975.48,446.53,1737.26,0,0,20,0,43963.89,33,2347.93,0.0112,0.5215,1
26,97660.54,23686.58,1715.59,9,0,11,0,25723.94,33,11451.86,0.2425,0.2108,1
46,29213.28,24950.65,3066.64,2,0,21,0,33925.23,12,16507.18,0.8541,1.2596,0
24,92687.1,8185.33,1769.25,4,1,28,0,2574.52,5,1941.97,0.0883,0.2291,1
39,32519.29,18217.2,1183.32,8,1,9,0,31863.51,24,12325.51,0.5602,0.4366,0
40,51204.4,46811.86,1316.1,2,2,26,0,27019.43,26,2228.48,0.9142,0.3084,1
53,75981.74,28760.19,2535.92,9,1,18,0,51679.25,30,9177.14,0.3785,0.4005,0
40,23344.8,4182.19,3805.22,13,2,12,0,27739.57,2,4949.73,0.1791,1.9559,0
32,96725.58,27018.75,1580.81,9,1,9,0,29807.68,27,18182.72,0.2793,0.1961,1
21,51051.4,4237.66,3718.9,8,2,4,0,7698.88,3,10068.45,0.083,0.8741,0
46,63431.9,0.0,1991.33,0,0,28,0,24760.59,16,0.0,0.0,0.3767,1
34,89055.02,14755.05,1776.15,5,0,14,0,37186.66,33,9254.82,0.1657,0.2393,1
58,40171.87,33758.42,1271.78,8,2,20,0,14800.44,19,18884.17,0.8403,0.3799,1
57,86520.34,31769.38,1841.59,11,2,2,0,9321.92,12,0.0,0.3672,0.2554,0
31,101013.34,19526.82,1395.09,4,0,7,0,50131.87,4,7524.55,0.1933,0.1657,1
56,43610.53,8499.25,1330.9,10,1,5,0,15835.52,23,6420.65,0.1949,0.3662,0
33,94234.69,20837.4,678.36,13,0,28,0,33575.37,16,11889.17,0.2211,0.0864,1
63,15985.54,11770.08,3412.89,9,2,18,1,12832.23,30,8088.12,0.7362,2.5618,0
23,69740.01,8836.13,2851.51,1,1,16,1,13431.39,27,13295.82,0.1267,0.4906,1
53,29285.04,27744.03,2217.28,4,1,9,0,18157.85,0,3553.19,0.9473,0.9085,0
26,83564.21,8687.57,1884.79,0,0,0,0,28595.66,1,8442.53,0.104,0.2707,0
30,81511.4,28526.84,1995.54,8,1,12,0,37521.99,32,8149.67,0.35,0.2938,1
25,111934.5,7893.77,1378.47,9,0,26,0,11587.93,28,26113.86,0.0705,0.1478,1
43,95532.07,39701.9,1092.92,12,1,9,0,36809.45,3,12815.58,0.4156,0.1373,1
30,55855.72,0.0,2573.93,9,2,11,0,22075.14,17,17601.28,0.0,0.553,1
64,32956.31,3518.77,1790.22,8,0,1,0,17360.07,23,26571.64,0.1068,0.6518,1
22,74142.18,13135.59,2260.59,5,1,9,0,28392.15,31,12265.65,0.1772,0.3659,1
33,58481.71,0.0,670.05,10,2,20,0,41436.77,8,7936.05,0.0,0.1375,0
60,98778.88,0.0,1747.66,8,2,22,0,27733.22,15,1114.97,0.0,0.2123,1
22,12000.0,0.0,1077.31,13,3,0,0,9101.72,20,0.0,0.0,1.0772,0
40,114701.42,11494.93,2387.24,2,1,0,0,22192.81,29,0.0,0.1002,0.2498,1
21,73299.77,11799.48,2796.22,14,0,19,0,28432.66,2,17962.27,0.161,0.4578,0
57,39674.7,18995.99,3167.76,3,1,28,0,11100.82,32,14117.76,0.4788,0.9581,1
29,78349.73,12635.98,1496.82,12,0,25,0,24213.63,30,7903.89,0.1613,0.2292,1
37,92435.54,18594.2,1097.68,5,1,14,0,9225.13,13,7675.51,0.2012,0.1425,1
29,62858.67,9597.4,1665.13,3,0,21,0,29513.2,5,996.28,0.1527,0.3179,1
31,15876.99,23577.79,1440.55,0,0,24,0,41968.47,4,14460.28,1.4849,1.0887,0
35,52653.82,22131.72,2344.99,6,1,0,0,18786.11,28,4582.43,0.4203,0.5344,1
44,85984.88,11079.69,877.77,4,0,26,0,31181.03,20,7632.71,0.1289,0.1225,1
58,72416.62,21396.14,596.48,13,0,25,0,35374.76,11,9.04,0.2955,0.0988,1
55,56087.32,12712.25,1722.84,14,0,20,0,13564.79,22,1580.4,0.2266,0.3686,1
50,92707.9,0.0,2581.2,7,0,8,0,26349.76,13,18382.63,0.0,0.3341,1
51,78482.65,25853.96,1178.03,8,0,23,0,37077.29,9,20012.92,0.3294,0.1801,1
25,80408.48,4118.21,2679.29,4,1,6,0,44552.44,26,0.0,0.0512,0.3998,1
64,49734.13,25725.89,2292.27,7,0,15,0,15825.61,1,15349.2,0.5173,0.5531,1
34,47315.41,18888.32,3237.44,12,2,15,0,3093.83,13,3340.93,0.3992,0.8211,0
31,17501.01,13985.73,1358.2,0,0,12,0,28754.51,6,5512.8,0.7991,0.9312,0
29,53515.21,0.0,714.82,0,3,9,0,23432.38,16,20808.15,0.0,0.1603,0
54,83384.8,33476.95,2478.83,6,2,17,0,20455.21,19,7424.62,0.4015,0.3567,1
32,54897.67,10642.63,2223.9,14,0,8,1,12209.85,7,7350.13,0.1939,0.4861,0
55,71138.47,22614.76,2162.0,5,1,11,0,33262.26,19,0.0,0.3179,0.3647,1
55,87779.98,13632.31,1161.74,4,0,28,0,11170.37,4,6958.57,0.1553,0.1588,1
21,69320.82,11742.78,2620.12,13,1,23,0,9870.42,12,4369.97,0.1694,0.4536,1
60,71762.87,17313.69,1493.26,14,0,12,0,18015.63,16,14131.91,0.2413,0.2497,1
42,26054.44,15318.87,2161.65,4,2,10,0,33933.23,5,5120.12,0.5879,0.9956,0
49,51935.88,11796.09,1632.35,13,0,14,0,1000.0,18,21013.44,0.2271,0.3772,1
28,103165.66,14336.23,2283.51,8,0,9,0,4777.44,24,13565.45,0.139,0.2656,1
31,62594.93,20124.78,1043.9,0,0,9,0,7706.29,2,11773.7,0.3215,0.2001,1
61,107418.45,20973.83,2399.74,7,1,8,0,49748.63,27,16323.79,0.1953,0.2681,1
57,41922.11,15520.29,2526.07,1,1,24,0,24237.97,25,11805.89,0.3702,0.7231,1
34,65848.69,22451.24,2092.78,6,3,24,0,4358.12,7,16545.81,0.3409,0.3814,1
50,50433.04,9911.16,3315.12,5,3,2,0,18035.74,14,8674.68,0.1965,0.7888,0
55,74799.62,41698.64,2165.73,9,0,22,0,31597.58,0,9206.08,0.5575,0.3474,1
41,82375.22,32827.06,2735.0,1,0,15,0,49999.26,22,2756.02,0.3985,0.3984,0
57,75061.65,24149.32,2073.93,11,0,11,0,1000.0,15,3574.98,0.3217,0.3316,1
25,86046.3,0.0,2663.52,12,2,16,0,3880.08,3,21703.7,0.0,0.3714,1
39,59670.68,22272.23,773.36,2,0,24,0,14925.15,7,14199.09,0.3732,0.1555,1
34,55236.79,10960.36,2026.36,3,0,29,0,15453.92,9,0.0,0.1984,0.4402,1
46,16045.17,3255.83,1098.45,6,0,14,0,15213.15,29,19518.01,0.2029,0.8215,1
24,75961.27,10654.85,2112.34,7,1,24,0,18316.26,15,11128.38,0.1403,0.3337,1
45,64304.6,4585.98,2307.35,12,0,2,0,50430.71,29,2865.72,0.0713,0.4306,0
62,58302.13,21081.64,2646.0,10,3,4,0,1014.1,9,26070.17,0.3616,0.5446,1
45,55229.56,34391.93,2391.93,1,1,27,0,22397.34,10,21327.88,0.6227,0.5197,1
38,59078.01,24912.35,1730.52,7,1,12,0,28414.63,33,16798.98,0.4217,0.3515,1
60,54094.1,48150.3,1397.12,10,1,23,0,1000.0,15,11430.27,0.8901,0.3099,1
28,46799.15,0.0,300.0,8,0,5,0,41513.09,18,13062.24,0.0,0.0769,0
59,65989.72,8927.58,2055.08,6,1,25,0,17647.69,3,0.0,0.1353,0.3737,1
60,72103.98,3683.7,2910.29,0,2,25,0,3744.53,30,16736.0,0.0511,0.4843,1
34,40735.8,29752.42,2086.71,5,3,8,0,43201.52,34,11629.02,0.7304,0.6147,0
52,49981.61,12353.4,1932.2,7,0,29,0,30219.18,33,12180.15,0.2472,0.4639,1
58,54884.46,17274.19,2114.45,4,2,28,0,11860.15,25,11990.37,0.3147,0.4623,1
53,60120.33,22604.23,1689.83,11,2,18,0,30875.06,5,5782.5,0.376,0.3373,1
43,56795.36,0.0,2155.97,14,1,27,0,25815.64,32,1454.56,0.0,0.4555,1
35,76493.03,7543.81,1676.03,1,1,6,0,1000.0,26,10835.44,0.0986,0.2629,1
53,18690.82,26967.19,1280.89,14,3,12,0,1000.0,11,0.0,1.4427,0.8223,0
45,23124.07,8422.95,1939.76,4,0,21,0,25051.16,7,12535.22,0.3642,1.0066,1
37,64839.23,0.0,1922.32,7,0,29,1,1000.0,8,745.82,0.0,0.3558,1
53,44932.85,4172.85,3500.14,1,0,4,0,35081.54,0,18694.69,0.0929,0.9347,0
22,82106.06,11564.78,1355.45,0,1,15,0,1000.0,4,0.0,0.1409,0.1981,1
34,89245.02,17001.13,1872.45,14,1,3,0,33809.81,6,9606.77,0.1905,0.2518,0
60,65843.68,14150.24,1794.67,3,1,4,0,41352.97,17,10673.62,0.2149,0.3271,0
60,33200.63,7629.39,1641.85,3,1,28,0,27344.88,23,20974.63,0.2298,0.5934,1
59,86364.84,26271.76,2410.48,8,1,19,0,1000.0,25,12300.27,0.3042,0.3349,1
26,64972.57,13451.27,3790.37,2,1,18,0,36804.85,9,2678.52,0.207,0.7,1
26,22826.6,17512.82,1743.34,3,0,22,0,13451.69,11,1973.88,0.7672,0.9164,0
23,25037.01,8268.53,2412.72,2,1,5,0,19136.14,21,23022.18,0.3302,1.1563,1
27,97923.67,33107.28,470.1,1,1,3,0,8850.59,26,9665.71,0.3381,0.0576,1
28,93778.4,10300.43,1685.18,3,2,24,0,45231.78,2,8252.61,0.1098,0.2156,1
62,12000.0,15896.31,3244.19,13,0,0,0,22661.31,17,3746.46,1.3246,3.2439,0
35,26055.23,27419.99,1956.02,7,0,16,0,13908.2,4,0.0,1.0523,0.9008,0
49,88521.39,18360.51,2401.87,0,1,8,0,40091.38,13,27105.55,0.2074,0.3256,1
53,59537.69,18061.08,1501.8,7,2,15,0,33192.75,24,10571.01,0.3034,0.3027,1
50,77546.23,0.0,2206.05,7,2,22,0,3013.67,30,92.07,0.0,0.3414,1
59,58451.18,23167.62,3306.22,14,2,1,0,25010.38,20,16681.06,0.3964,0.6788,0
47,76362.31,15667.04,1071.93,2,0,10,0,23304.46,19,15376.37,0.2052,0.1684,1
56,60145.84,21498.78,3749.23,13,1,25,0,1000.0,13,0.0,0.3574,0.748,0
49,49059.79,17198.56,763.24,9,0,4,0,32406.5,19,4738.97,0.3506,0.1867,0
58,86468.6,8290.11,1611.6,9,1,12,0,19564.41,29,14127.19,0.0959,0.2237,1
53,65051.37,25731.69,1331.27,11,4,19,0,52267.07,19,16529.02,0.3956,0.2456,0
57,76309.72,17377.52,1782.03,11,1,16,0,41146.51,6,3141.08,0.2277,0.2802,1
47,63936.2,0.0,1320.88,5,0,27,0,23331.59,4,0.0,0.0,0.2479,1
53,47841.08,30702.21,1260.22,12,1,28,0,18689.03,30,12214.47,0.6417,0.3161,1
24,100209.73,0.0,1050.6,12,0,24,0,1000.0,28,17709.46,0.0,0.1258,1
42,68874.21,25811.15,2515.24,3,0,14,0,32635.09,14,9475.68,0.3748,0.4382,1
22,51123.78,32843.18,1809.63,12,1,21,0,18974.26,24,7245.68,0.6424,0.4248,1
30,91958.24,1724.45,1600.39,0,0,26,0,12988.59,12,24279.31,0.0188,0.2088,1
25,26979.41,13526.86,2225.81,13,0,28,1,20322.66,23,0.0,0.5014,0.99,0
30,115907.09,12408.62,804.29,0,3,29,0,43293.06,14,16512.76,0.1071,0.0833,1
53,55521.26,12948.35,2245.1,4,2,11,0,40469.7,23,17050.2,0.2332,0.4852,1
58,28299.64,36962.86,1924.98,11,1,5,0,40428.34,25,3055.21,1.3061,0.8162,0
33,107648.53,1863.37,1949.57,7,2,19,0,4426.51,18,0.0,0.0173,0.2173,1
51,48420.81,11321.2,2415.33,0,1,12,0,43694.64,23,16821.0,0.2338,0.5986,1
56,66081.11,33039.87,3314.82,1,1,17,0,12648.35,18,12895.88,0.5,0.6019,1
44,77942.27,11124.61,2258.38,6,4,23,0,31193.51,16,22791.64,0.1427,0.3477,1
35,89604.31,3770.64,1840.1,7,2,14,0,29412.47,4,4917.01,0.0421,0.2464,0
49,67494.36,18156.18,1053.88,11,0,14,0,17885.92,3,11570.88,0.269,0.1874,1
28,43817.11,24667.69,300.0,13,0,7,0,23213.21,21,0.0,0.563,0.0822,0
